Type,MarketName,MarketHashName,Marketable,Exterior,ItemSet,Quality,Rarity,Weapon,AveragePrice,MedianPrice,LowestPrice,HighestPrice,Currency,StandardDeviation,Volume
Mil-Spec Grade Pistol,Five-SeveN | Violent Daimyo (Field-Tested),Five-SeveN | Violent Daimyo (Field-Tested),Yes,Field-Tested,The Gamma Collection,Normal,Mil-Spec Grade,Five-SeveN,0.16,0.16,0.14,0.18,USD,6.67,3572
Mil-Spec Grade SMG,MAC-10 | Carnivore (Battle-Scarred),MAC-10 | Carnivore (Battle-Scarred),Yes,Battle-Scarred,The Gamma Collection,Normal,Mil-Spec Grade,MAC-10,0.13,0.13,0.09,0.17,USD,16.67,709
Mil-Spec Grade SMG,MAC-10 | Carnivore (Field-Tested),MAC-10 | Carnivore (Field-Tested),Yes,Field-Tested,The Gamma Collection,Normal,Mil-Spec Grade,MAC-10,0.14,0.13,0.11,0.27,USD,15.38,1611
StatTrak™ Restricted SMG,StatTrak™ P90 | Chopper (Field-Tested),StatTrak™ P90 | Chopper (Field-Tested),Yes,Field-Tested,The Gamma Collection,StatTrak™,Restricted,P90,1.55,1.57,1.22,1.83,USD,6.99,482
Extraordinary Collectible,5 Year Veteran Coin,5 Year Veteran Coin,No,,,Normal,Extraordinary,,,,,,,,
★ Covert Knife,★ Butterfly Knife | Crimson Web (Field-Tested),★ Butterfly Knife | Crimson Web (Field-Tested),Yes,Field-Tested,The Breakout Collection,★,Covert,Butterfly Knife,1576.6,1489.06,1422.53,1775.75,USD,9.44,5
Base Grade Container,Prisma Case,Prisma Case,Yes,,The Prisma Collection,Normal,Base Grade,,1.14,1.2,0.87,1.25,USD,6.67,398996
Base Grade Graffiti,Sealed Graffiti | Loser (Frog Green),Sealed Graffiti | Loser (Frog Green),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,585
Extraordinary Collectible,Loyalty Badge,Loyalty Badge,No,,,Normal,Extraordinary,,,,,,,,
Base Grade Graffiti,Sealed Graffiti | Jump Shot (Brick Red),Sealed Graffiti | Jump Shot (Brick Red),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,678
Base Grade Container,Glove Case,Glove Case,Yes,,The Glove Collection,Normal,Base Grade,,6.07,6.09,4.71,6.28,USD,2.51,81277
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Mil-Spec Grade SMG,P90 | Facility Negative (Minimal Wear),P90 | Facility Negative (Minimal Wear),Yes,Minimal Wear,The 2018 Nuke Collection,Normal,Mil-Spec Grade,P90,,,,,,,
Consumer Grade Rifle,SG 553 | Army Sheen (Factory New),SG 553 | Army Sheen (Factory New),Yes,Factory New,The Bank Collection,Normal,Consumer Grade,SG 553,0.09,0.09,0.07,0.34,USD,25,7321
Consumer Grade SMG,UMP-45 | Facility Dark (Field-Tested),UMP-45 | Facility Dark (Field-Tested),Yes,Field-Tested,The 2018 Nuke Collection,Normal,Consumer Grade,UMP-45,0.03,0.03,0.03,0.05,USD,0,12836
Base Grade Container,Horizon Case,Horizon Case,Yes,,The Horizon Collection,Normal,Base Grade,,1.21,1.25,0.91,1.37,USD,8.11,200150
Consumer Grade Pistol,Tec-9 | Groundwater (Battle-Scarred),Tec-9 | Groundwater (Battle-Scarred),Yes,Battle-Scarred,The Italy Collection,Normal,Consumer Grade,Tec-9,0.03,0.03,0.03,0.05,USD,0,3658
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Base Grade Graffiti,Sealed Graffiti | Eat It (Violent Violet),Sealed Graffiti | Eat It (Violent Violet),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,665
